family,llm,variant,dataset_name,num_graphs,mean_nodes,median_nodes,min_nodes,max_nodes,std_nodes,mean_edges,median_edges,min_edges,max_edges,std_edges,node_DOCUMENT_mean,node_PARAGRAPH_mean,node_SENTENCE_mean,node_TOKEN_mean,node_ENTITY_mean,node_PREDICATE_mean,node_ARGUMENT_mean,node_CONCEPT_mean,node_NOUN_PHRASE_mean,node_VERB_PHRASE_mean,node_CLAUSE_mean,node_MENTION_mean,node_TOPIC_mean,edge_DEP_mean,edge_NEXT_TOKEN_mean,edge_NEXT_SENT_mean,edge_NEXT_PARA_mean,edge_COREF_mean,edge_SRL_ARG_mean,edge_AMR_EDGE_mean,edge_RST_RELATION_mean,edge_DISCOURSE_mean,edge_CONTAINS_mean,edge_BELONGS_TO_mean,edge_ENTITY_REL_mean,edge_SIMILARITY_mean
social,mistral,ALL,epss_mistral_v2_ALL,9218,669.66,636.0,15.0,2773.0,275.73,2198.43,2060.0,32.0,19405.0,1016.5,1.0,8.36,19.88,387.5,52.25,29.63,49.21,0.0,82.77,13.94,12.66,7.45,5.0,367.62,386.5,18.88,7.36,20.68,98.42,0.0,1.29,43.94,612.0,448.79,192.94,0.0
social,deepseek,D,epss_deepseek_v2_D,9218,111.86,90.0,13.0,1308.0,88.01,378.55,289.0,26.0,7107.0,373.03,1.0,1.0,2.61,57.67,10.25,5.46,10.03,0.0,12.57,2.89,2.07,1.3,5.0,55.06,56.67,1.61,0.0,3.7,20.06,0.0,0.11,8.65,99.53,85.85,47.32,0.0
social,deepseek,S_all,epss_deepseek_v2_S_all,7635,155.52,125.0,8.0,25567.0,348.2,584.79,381.0,13.0,711259.0,8609.51,1.0,1.69,6.16,86.61,13.04,6.89,11.23,0.0,17.66,2.53,2.59,1.13,4.99,80.45,85.61,5.16,0.69,4.04,22.46,0.0,0.29,16.87,142.16,93.58,133.48,0.0
social,deepseek,S_git,epss_deepseek_v2_S_git,2381,115.49,99.0,8.0,1869.0,83.44,342.66,291.0,12.0,5583.0,259.61,1.0,1.36,4.48,61.67,9.05,5.72,9.32,0.0,13.16,1.97,2.06,0.71,4.99,57.19,60.67,3.48,0.36,2.13,18.64,0.0,0.22,12.18,104.46,69.71,13.61,0.0
social,deepseek,ALL,epss_deepseek_v2_ALL,9218,264.05,222.0,13.0,25723.0,351.93,955.96,710.0,30.0,714613.0,7886.46,1.0,2.75,8.87,145.34,23.22,12.64,21.73,0.0,30.6,5.49,4.75,2.65,5.0,136.47,144.34,7.87,1.75,8.7,43.47,0.0,0.44,22.16,238.67,181.59,170.5,0.0
megavul,gpt,D,epss_mv_gpt_D,6478,108.57,91.0,19.0,1082.0,77.23,357.55,302.0,39.0,7107.0,277.11,1.0,1.04,2.29,55.88,9.41,5.23,10.01,0.0,12.57,2.76,2.21,1.2,5.0,53.59,54.88,1.29,0.04,2.82,20.01,0.0,0.12,7.56,96.37,86.68,34.2,0.0
megavul,gpt,S_url,epss_mv_gpt_S_url,6474,175.41,160.0,7.0,1827.0,85.6,596.64,555.0,11.0,5927.0,278.94,1.0,1.17,2.79,90.25,11.76,11.0,18.8,0.0,21.05,4.49,6.19,1.91,4.98,87.46,89.25,1.79,0.17,3.25,37.6,0.0,0.48,8.92,153.7,175.9,38.12,0.0
megavul,gpt,S_code,epss_mv_gpt_S_code,6302,397.37,378.0,7.0,1355.0,168.18,1262.88,1196.0,8.0,4479.0,544.28,1.0,2.88,9.37,228.36,17.74,22.39,40.86,0.0,45.67,10.03,10.09,3.99,4.99,218.99,227.36,8.37,1.88,6.69,81.72,0.0,1.94,20.68,351.53,310.52,33.19,0.0
megavul,gpt,S_cvss,epss_mv_gpt_S_cvss,6478,195.23,190.0,33.0,638.0,67.78,644.91,622.0,83.0,2017.0,225.43,1.0,1.12,3.36,102.66,14.19,10.23,19.83,0.0,23.56,5.33,5.85,3.09,5.0,99.3,101.66,2.36,0.12,4.85,39.66,0.0,1.09,8.85,171.31,171.69,44.02,0.0
megavul,gpt,ALL,epss_mv_gpt_ALL,6478,848.29,829.0,208.0,2357.0,223.02,2857.7,2795.0,689.0,10090.0,750.41,1.0,6.13,17.56,470.89,51.67,48.24,88.37,0.0,101.59,22.34,24.06,11.43,5.0,453.33,469.89,16.56,5.13,22.13,176.75,0.0,4.05,33.22,747.49,737.6,191.55,0.0
megavul,gemma,D,epss_mv_gemma_D,6478,108.57,91.0,19.0,1082.0,77.23,357.55,302.0,39.0,7107.0,277.11,1.0,1.04,2.29,55.88,9.41,5.23,10.01,0.0,12.57,2.76,2.21,1.2,5.0,53.59,54.88,1.29,0.04,2.82,20.01,0.0,0.12,7.56,96.37,86.68,34.2,0.0
megavul,gemma,S_url,epss_mv_gemma_S_url,6478,171.75,167.0,71.0,469.0,34.41,537.1,525.0,198.0,1446.0,115.38,1.0,1.18,4.57,89.57,12.02,11.36,18.42,0.0,18.45,4.11,4.55,1.53,5.0,85.0,88.57,3.57,0.18,3.0,36.83,0.0,0.75,13.49,150.8,133.93,20.97,0.0
megavul,gemma,S_code,epss_mv_gemma_S_code,6478,232.77,224.0,7.0,1010.0,60.94,726.69,699.0,8.0,3211.0,194.79,1.0,1.46,5.92,131.45,11.41,13.48,23.56,0.0,25.53,6.39,5.8,1.79,5.0,125.53,130.45,4.92,0.46,3.15,47.13,0.0,1.58,15.22,206.42,176.56,15.27,0.0
megavul,gemma,S_cvss,epss_mv_gemma_S_cvss,6478,145.41,145.0,84.0,246.0,26.3,432.5,431.0,225.0,758.0,88.69,1.0,1.0,4.67,78.46,11.6,6.53,12.11,0.0,19.02,2.03,3.28,0.71,5.0,73.8,77.46,3.67,0.0,2.01,24.22,0.0,0.29,11.95,131.59,88.72,18.81,0.0
megavul,gemma,ALL,epss_mv_gemma_ALL,6478,640.21,624.0,377.0,1591.0,110.0,2064.7,2016.0,1199.0,9419.0,385.67,1.0,4.68,17.44,355.36,42.59,36.6,64.09,0.0,75.56,15.28,15.84,6.78,5.0,337.92,354.36,16.44,3.68,15.43,128.19,0.0,2.88,33.15,568.34,487.44,116.88,0.0
megavul,mistral,D,epss_mv_mistral_D,6478,108.57,91.0,19.0,1082.0,77.23,357.55,302.0,39.0,7107.0,277.11,1.0,1.04,2.29,55.88,9.41,5.23,10.01,0.0,12.57,2.76,2.21,1.2,5.0,53.59,54.88,1.29,0.04,2.82,20.01,0.0,0.12,7.56,96.37,86.68,34.2,0.0
megavul,mistral,S_url,epss_mv_mistral_S_url,6478,208.24,199.0,57.0,784.0,60.36,644.53,615.0,154.0,2395.0,196.81,1.0,1.53,6.05,108.42,15.65,12.21,19.95,0.0,25.27,5.52,4.93,2.71,5.0,102.37,107.42,5.05,0.53,5.1,39.9,0.0,0.58,16.44,184.58,153.57,28.99,0.0
megavul,mistral,S_code,epss_mv_mistral_S_code,6478,432.36,416.0,95.0,2294.0,159.43,1362.27,1310.0,268.0,7170.0,511.83,1.0,4.5,11.07,240.16,23.08,24.46,42.45,0.0,50.57,13.41,10.6,6.07,5.0,229.09,239.16,10.07,3.5,11.16,84.89,0.0,2.27,28.24,382.84,323.14,47.9,0.0
megavul,mistral,S_cvss,epss_mv_mistral_S_cvss,6362,262.98,260.0,65.0,673.0,82.72,810.83,798.0,172.0,2253.0,272.57,1.0,3.52,8.1,147.54,17.03,11.68,20.2,0.0,33.6,5.76,6.0,3.54,5.0,139.44,146.54,7.1,2.52,6.73,40.4,0.0,0.59,20.3,238.24,180.35,28.63,0.0
megavul,mistral,ALL,epss_mv_mistral_ALL,6478,988.32,970.0,375.0,2643.0,209.02,3200.93,3140.0,1184.0,11401.0,706.07,1.0,10.52,27.36,549.35,61.69,53.36,92.24,0.0,121.41,27.35,23.63,15.4,5.0,521.99,548.35,26.36,9.52,32.27,184.49,0.0,3.63,54.2,879.69,742.44,198.0,0.0
