date_value,requested,fetched,cached_before,no_data
2023-05-28,8,0,5,3
2023-05-29,1,0,1,0
2023-05-30,25,0,20,5
2023-05-31,10,0,6,4
2023-06-01,14,0,2,12
2023-06-02,3,0,2,1
2023-06-03,17,0,7,10
2023-06-04,12,0,9,3
2023-06-05,7,0,3,4
2023-06-06,24,0,17,7
2023-06-07,15,0,7,8
2023-06-08,6,0,5,1
2023-06-09,11,0,10,1
2023-06-10,2,0,2,0
2023-06-11,5,0,1,4
2023-06-12,13,0,10,3
2023-06-13,10,0,7,3
2023-06-14,10,0,10,0
2023-06-15,5,0,4,1
2023-06-16,7,0,6,1
2023-06-17,1,0,1,0
2023-06-18,6,0,3,3
2023-06-19,21,0,14,7
2023-06-20,14,0,1,13
2023-06-21,6,0,0,6
2023-06-22,23,0,2,21
2023-06-23,12,0,11,1
2023-06-24,5,0,4,1
2023-06-25,6,0,6,0
2023-06-26,16,0,14,2
2023-06-27,12,0,1,11
2023-06-28,8,0,2,6
2023-06-29,7,0,7,0
2023-06-30,11,0,11,0
2023-07-01,6,0,2,4
2023-07-02,7,0,7,0
2023-07-03,14,0,14,0
2023-07-04,16,0,15,1
2023-07-05,19,0,4,15
2023-07-06,17,0,14,3
2023-07-07,6,0,6,0
2023-07-08,5,0,5,0
2023-07-09,9,0,4,5
2023-07-10,15,0,14,1
2023-07-11,5,0,2,3
2023-07-12,6,0,5,1
2023-07-13,9,0,7,2
2023-07-14,14,0,10,4
2023-07-15,4,0,4,0
2023-07-16,3,0,3,0
2023-07-17,10,0,7,3
2023-07-18,8,0,8,0
2023-07-19,11,0,9,2
2023-07-20,13,0,11,2
2023-07-21,25,0,9,16
2023-07-22,12,0,7,5
2023-07-23,6,0,4,2
2023-07-24,3,0,0,3
2023-07-25,7,0,2,5
2023-07-26,8,0,8,0
2023-07-27,12,0,8,4
2023-07-28,19,0,8,11
2023-07-29,9,0,8,1
2023-07-30,3,0,2,1
2023-07-31,9,0,7,2
2023-08-01,8,0,2,6
2023-08-02,10,0,5,5
2023-08-03,22,0,1,21
2023-08-04,19,0,2,17
2023-08-05,22,0,15,7
2023-08-06,2,0,2,0
2023-08-07,26,0,0,26
2023-08-08,5,0,0,5
2023-08-09,11,0,7,4
2023-08-10,4,0,2,2
2023-08-11,27,0,26,1
2023-08-13,2,0,2,0
2023-08-14,11,0,6,5
2023-08-15,5,0,0,5
2023-08-17,2,0,2,0
2023-08-18,16,0,16,0
2023-08-19,4,0,4,0
2023-08-20,5,0,0,5
2023-08-21,12,0,5,7
2023-08-22,10,0,5,5
2023-08-24,7,0,2,5
2023-08-25,4,0,2,2
2023-08-27,6,0,6,0
2023-08-28,12,0,7,5
2023-08-30,3,0,3,0
2023-09-01,4,0,4,0
2023-09-03,20,0,20,0
2023-09-04,12,0,7,5
2023-09-05,7,0,7,0
2023-09-07,16,0,16,0
2023-09-08,4,0,4,0
2023-09-09,14,0,13,1
2023-09-11,11,0,11,0
2023-09-15,4,0,0,4
2023-09-18,7,0,0,7
2023-09-20,5,0,5,0
2023-09-22,4,0,0,4
2023-09-25,8,0,8,0
2023-10-02,8,0,8,0
2023-10-04,7,0,3,4
2023-10-08,12,0,1,11
2023-10-09,8,0,8,0
2023-10-10,8,0,8,0
2023-10-12,8,0,8,0
2023-10-16,8,0,8,0
2023-10-23,8,0,8,0
2023-10-28,1,0,1,0
2023-11-08,8,0,8,0
2023-11-13,1,0,1,0
2023-11-20,1,0,1,0
2023-11-26,1,0,1,0
2023-11-27,1,0,1,0
2023-11-28,1,0,1,0
2023-11-30,1,0,1,0
2023-12-04,1,0,1,0
2023-12-11,1,0,1,0
2023-12-27,1,0,1,0
2024-01-20,1,0,1,0
2024-01-27,4,0,0,4
2024-02-02,4,0,0,4
2024-02-05,1,0,1,0
2024-02-09,5,0,2,3
2024-02-12,5,0,2,3
2024-02-13,8,0,8,0
2024-02-17,1,0,1,0
2024-02-18,5,0,1,4
2024-02-19,9,0,5,4
2024-02-20,1,0,1,0
2024-02-22,1,0,1,0
2024-02-25,13,0,3,10
2024-02-26,5,0,2,3
2024-02-27,4,0,1,3
2024-02-28,1,0,0,1
2024-02-29,12,0,9,3
2024-03-02,4,0,4,0
2024-03-03,18,0,15,3
2024-03-04,10,0,7,3
2024-03-06,8,0,7,1
2024-03-07,8,0,8,0
2024-03-09,5,0,4,1
2024-03-10,9,0,8,1
2024-03-11,10,0,6,4
2024-03-13,21,0,17,4
2024-03-14,8,0,8,0
2024-03-15,9,0,8,1
2024-03-16,4,0,2,2
2024-03-17,18,0,17,1
2024-03-18,1,0,1,0
2024-03-19,14,0,12,2
2024-03-20,5,0,5,0
2024-03-21,13,0,13,0
2024-03-22,2,0,0,2
2024-03-23,4,0,4,0
2024-03-24,5,0,4,1
2024-03-25,1,0,1,0
2024-03-26,9,0,8,1
2024-03-27,8,0,8,0
2024-03-28,9,0,8,1
2024-03-29,5,0,2,3
2024-03-30,1,0,1,0
2024-04-01,15,0,14,1
2024-04-02,13,0,12,1
2024-04-03,13,0,13,0
2024-04-05,14,0,12,2
2024-04-07,1,0,0,1
2024-04-08,4,0,4,0
2024-04-09,14,0,14,0
2024-04-11,4,0,2,2
2024-04-12,5,0,4,1
2024-04-13,13,0,12,1
2024-04-14,5,0,4,1
2024-04-15,8,0,7,1
2024-04-16,13,0,13,0
2024-04-17,1,0,1,0
2024-04-18,4,0,4,0
2024-04-19,11,0,8,3
2024-04-20,1,0,0,1
2024-04-21,1,0,0,1
2024-04-22,5,0,4,1
2024-04-24,1,0,0,1
2024-04-26,4,0,4,0
2024-04-28,2,0,1,1
2024-04-29,5,0,5,0
2024-05-02,9,0,9,0
2024-05-04,1,0,0,1
2024-05-05,4,0,3,1
2024-05-06,1,0,1,0
2024-05-12,8,0,8,0
2024-05-13,1,0,1,0
2024-05-14,1,0,1,0
2024-05-15,4,0,4,0
2024-05-16,1,0,1,0
2024-05-18,3,0,3,0
2024-05-19,3,0,3,0
2024-05-20,5,0,4,1
2024-05-21,1,0,1,0
2024-05-22,3,0,3,0
2024-05-25,1,0,0,1
2024-05-26,4,0,3,1
2024-05-27,3,0,1,2
2024-06-01,1,0,0,1
2024-06-02,4,0,3,1
2024-06-03,1,0,0,1
2024-06-04,1,0,0,1
2024-06-06,1,0,0,1
2024-06-10,2,0,0,2
2024-06-11,1,0,0,1
2024-06-12,2,0,2,0
2024-06-17,3,0,2,1
2024-06-18,4,0,4,0
2024-06-19,1,0,1,0
2024-06-23,1,0,1,0
2024-06-24,3,0,2,1
2024-06-25,3,0,3,0
2024-06-26,2,0,2,0
2024-06-27,2,0,2,0
2024-06-28,1,0,1,0
2024-06-29,1,0,1,0
2024-06-30,1,0,0,1
2024-07-01,2,0,1,1
2024-07-02,2,0,2,0
2024-07-03,2,0,2,0
2024-07-04,1,0,1,0
2024-07-05,1,0,0,1
2024-07-08,2,0,2,0
2024-07-09,1,0,1,0
2024-07-10,1,0,1,0
2024-07-15,2,0,1,1
2024-07-21,1,0,0,1
2024-07-24,1,0,1,0
2024-07-25,1,0,1,0
2024-07-26,1,0,1,0
2024-07-28,1,0,1,0
2024-07-31,2,0,1,1
2024-08-03,1,0,1,0
2024-08-04,1,0,1,0
2024-08-05,3,0,2,1
2024-08-07,2,0,1,1
2024-08-08,2,0,0,2
2024-08-10,2,0,2,0
2024-08-11,3,0,2,1
2024-08-12,1,0,0,1
2024-08-13,1,0,0,1
2024-08-14,1,0,1,0
2024-08-15,1,0,1,0
2024-08-17,4,0,1,3
2024-08-18,4,0,2,2
2024-08-21,4,0,2,2
2024-08-24,2,0,0,2
2024-08-25,1,0,0,1
2024-08-26,2,0,2,0
2024-08-27,5,0,2,3
2024-08-28,5,0,2,3
2024-08-31,2,0,0,2
2024-09-01,1,0,0,1
2024-09-02,5,0,2,3
2024-09-03,8,0,7,1
2024-09-04,3,0,2,1
2024-09-05,2,0,2,0
2024-09-06,4,0,2,2
2024-09-07,4,0,3,1
2024-09-08,4,0,3,1
2024-09-09,9,0,5,4
2024-09-10,13,0,8,5
2024-09-11,8,0,5,3
2024-09-12,6,0,3,3
2024-09-13,7,0,4,3
2024-09-14,3,0,3,0
2024-09-15,4,0,4,0
2024-09-16,9,0,9,0
2024-09-17,14,0,13,1
2024-09-18,6,0,6,0
2024-09-19,7,0,3,4
2024-09-20,7,0,4,3
2024-09-21,3,0,3,0
2024-09-22,1,0,1,0
2024-09-23,7,0,7,0
2024-09-24,8,0,6,2
2024-09-25,7,0,3,4
2024-09-26,6,0,0,6
2024-09-27,9,0,7,2
2024-09-28,1,0,1,0
2024-09-29,6,0,5,1
2024-09-30,12,0,5,7
2024-10-01,6,0,5,1
2024-10-02,5,0,2,3
2024-10-03,10,0,8,2
2024-10-04,8,0,6,2
2024-10-05,2,0,1,1
2024-10-06,6,0,3,3
2024-10-07,3,0,3,0
2024-10-08,6,0,5,1
2024-10-09,8,0,7,1
2024-10-10,21,0,15,6
2024-10-11,10,0,6,4
2024-10-12,27,0,8,19
2024-10-13,61,0,6,55
2024-10-14,35,0,6,29
2024-10-15,45,0,3,42
2024-10-16,46,0,16,30
2024-10-17,34,0,10,24
2024-10-18,11,0,8,3
2024-10-19,35,0,4,31
2024-10-20,26,0,10,16
2024-10-21,31,0,2,29
2024-10-22,2,0,1,1
2024-10-23,13,0,8,5
2024-10-24,9,0,8,1
2024-10-25,5,0,4,1
2024-10-26,9,0,4,5
2024-10-27,9,0,6,3
2024-10-28,25,0,4,21
2024-10-29,63,0,7,56
2024-10-30,37,0,7,30
2024-10-31,82,0,14,68
2024-11-01,31,0,2,29
2024-11-02,58,0,10,48
2024-11-03,31,0,4,27
2024-11-04,66,0,4,62
2024-11-05,99,0,3,96
2024-11-06,97,0,7,90
2024-11-07,46,0,3,43
2024-11-08,36,0,4,32
2024-11-09,47,0,4,43
2024-11-10,58,0,11,47
2024-11-11,125,0,6,119
2024-11-12,180,0,32,148
2024-11-13,194,0,82,112
2024-11-14,121,0,59,62
2024-11-15,149,0,105,44
2024-11-16,154,0,70,84
2024-11-17,118,0,69,49
2024-11-18,155,0,50,105
2024-11-19,191,0,118,73
2024-11-20,105,0,56,49
2024-11-21,131,0,102,29
2024-11-22,73,0,42,31
2024-11-23,85,0,56,29
2024-11-24,23,0,5,18
2024-11-25,91,0,52,39
2024-11-26,126,0,75,51
2024-11-27,92,0,62,30
2024-11-28,131,0,48,83
2024-11-29,116,0,41,75
2024-11-30,64,0,55,9
2024-12-01,84,0,0,84
2024-12-02,134,0,44,90
2024-12-03,140,0,79,61
2024-12-04,155,0,67,88
2024-12-05,163,0,39,124
2024-12-06,120,0,24,96
2024-12-07,95,0,71,24
2024-12-08,92,0,35,57
2024-12-09,181,0,61,120
2024-12-10,143,0,55,88
2024-12-11,200,0,98,102
2024-12-12,210,0,149,61
2024-12-13,186,0,141,45
2024-12-14,141,0,117,24
2024-12-15,211,0,89,122
2024-12-16,184,0,91,93
2024-12-17,220,0,99,121
2024-12-18,136,0,83,53
2024-12-19,211,0,171,40
2024-12-20,148,0,122,26
2024-12-21,70,0,56,14
2024-12-22,59,0,25,34
2024-12-23,148,0,73,75
2024-12-24,156,0,63,93
2024-12-25,139,0,66,73
2024-12-26,126,0,78,48
2024-12-27,113,0,63,50
2024-12-28,41,0,21,20
2024-12-29,60,0,11,49
2024-12-30,167,0,84,83
2024-12-31,217,0,51,166
2025-01-01,180,0,91,89
2025-01-02,137,0,51,86
2025-01-03,114,0,65,49
2025-01-04,76,0,46,30
2025-01-05,83,0,45,38
2025-01-06,127,0,44,83
2025-01-07,292,0,84,208
2025-01-08,231,0,81,150
2025-01-09,218,0,100,118
2025-01-10,179,0,128,51
2025-01-11,164,0,136,28
2025-01-12,152,0,78,74
2025-01-13,221,0,71,150
2025-01-14,313,0,109,204
2025-01-15,316,0,180,136
2025-01-16,195,0,141,54
2025-01-17,252,0,201,51
2025-01-18,82,0,64,18
2025-01-19,89,0,57,32
2025-01-20,153,0,65,88
2025-01-21,299,0,150,149
2025-01-22,243,0,143,100
2025-01-23,226,0,145,81
2025-01-24,161,0,98,63
2025-01-25,113,0,81,32
2025-01-26,68,0,33,35
2025-01-27,166,0,64,102
2025-01-28,297,0,172,125
2025-01-29,266,0,149,117
2025-01-30,217,0,132,85
2025-01-31,153,0,114,39
2025-02-01,85,0,55,30
2025-02-02,97,0,53,44
2025-02-03,145,0,52,93
2025-02-04,242,0,119,123
2025-02-05,236,0,125,111
2025-02-06,222,0,145,77
2025-02-07,189,0,138,51
2025-02-08,112,0,87,25
2025-02-09,131,0,71,60
2025-02-10,183,0,70,113
2025-02-11,242,0,100,142
2025-02-12,243,0,140,103
2025-02-13,268,0,202,66
2025-02-14,225,0,159,66
2025-02-15,153,0,111,42
2025-02-16,67,0,47,20
2025-02-17,157,0,78,79
2025-02-18,229,0,116,113
2025-02-19,197,0,115,82
2025-02-20,176,0,126,50
2025-02-21,195,0,139,56
2025-02-22,113,0,76,37
2025-02-23,104,0,64,40
2025-02-24,157,0,58,99
2025-02-25,257,0,110,147
2025-02-26,194,0,92,102
2025-02-27,171,0,123,48
2025-02-28,164,0,113,51
2025-03-01,120,0,71,49
2025-03-02,121,0,35,86
2025-03-03,173,0,78,95
2025-03-04,246,0,114,132
2025-03-05,202,0,106,96
2025-03-06,183,0,127,56
2025-03-07,174,0,128,46
2025-03-08,148,0,99,49
2025-03-09,117,0,41,76
2025-03-10,210,0,94,116
2025-03-11,231,0,124,107
2025-03-12,280,0,183,97
2025-03-13,203,0,120,83
2025-03-14,215,0,160,55
2025-03-15,134,0,98,36
2025-03-16,93,0,48,45
2025-03-17,221,0,106,115
2025-03-18,360,0,197,163
2025-03-19,202,0,117,85
2025-03-20,201,0,127,74
2025-03-21,194,0,131,63
2025-03-22,114,0,88,26
2025-03-23,120,0,83,37
2025-03-24,189,0,84,105
2025-03-25,318,0,139,179
2025-03-26,235,0,134,101
2025-03-27,239,0,159,80
2025-03-28,253,0,180,73
2025-03-29,118,0,96,22
2025-03-30,135,0,94,41
2025-03-31,245,0,117,128
2025-04-01,268,0,140,128
2025-04-02,302,0,210,92
2025-04-03,339,0,219,120
2025-04-04,313,0,245,68
2025-04-05,109,0,89,20
2025-04-06,95,0,64,31
2025-04-07,237,0,143,94
2025-04-08,307,0,202,105
2025-04-09,364,0,233,131
2025-04-10,444,0,324,120
2025-04-11,331,0,281,50
2025-04-12,210,0,172,38
2025-04-13,159,0,117,42
2025-04-14,263,0,209,54
2025-04-15,347,0,231,116
2025-04-16,414,0,273,141
2025-04-17,416,0,332,84
2025-04-18,368,0,318,50
2025-04-19,207,0,173,34
2025-04-20,190,0,160,30
2025-04-21,175,0,128,47
2025-04-22,258,0,179,79
2025-04-23,305,0,225,80
2025-04-24,335,0,262,73
2025-04-25,322,0,278,44
2025-04-26,174,0,148,26
2025-04-27,128,0,98,30
2025-04-28,179,0,127,52
2025-04-29,227,0,155,72
2025-04-30,262,0,194,68
2025-05-01,309,0,274,35
2025-05-02,250,0,223,27
2025-05-03,173,0,157,16
2025-05-04,95,0,82,13
2025-05-05,113,0,86,27
2025-05-06,182,0,141,41
2025-05-07,162,0,125,37
2025-05-08,224,0,196,28
2025-05-09,245,0,218,27
2025-05-10,215,0,198,17
2025-05-11,171,0,151,20
2025-05-12,174,0,136,38
2025-05-13,166,0,121,45
2025-05-14,186,0,165,21
2025-05-15,196,0,169,27
2025-05-16,342,0,312,30
2025-05-17,288,0,266,22
2025-05-18,153,0,142,11
2025-05-19,166,0,151,15
2025-05-20,187,0,172,15
2025-05-21,125,0,114,11
2025-05-22,150,0,131,19
2025-05-23,234,0,217,17
2025-05-24,169,0,162,7
2025-05-25,106,0,104,2
2025-05-26,109,0,104,5
2025-05-27,130,0,129,1
2025-05-28,103,0,102,1
2025-05-29,118,0,115,3
2025-05-30,170,0,164,6
2025-05-31,136,0,135,1
2025-06-01,76,0,76,0
2025-06-02,60,0,60,0
2025-06-03,53,0,53,0
2025-06-04,41,0,41,0
2025-06-05,41,0,41,0
2025-06-06,55,0,55,0
2025-06-07,43,0,43,0
2025-06-08,61,0,61,0
2025-06-09,16,0,16,0
2025-06-10,24,0,24,0
2025-06-11,31,0,31,0
2025-06-12,66,0,66,0
2025-06-13,27,0,27,0
2025-06-14,25,0,25,0
2025-06-15,67,0,67,0
2025-06-16,56,0,56,0
2025-06-17,12,0,12,0
2025-06-18,23,0,23,0
2025-06-19,23,0,23,0
2025-06-20,12,0,12,0
2025-06-21,13,0,13,0
2025-06-22,22,0,22,0
2025-06-23,16,0,16,0
2025-06-24,11,0,11,0
2025-06-25,8,0,8,0
2025-06-26,15,0,15,0
2025-06-27,16,0,16,0
2025-06-28,20,0,20,0
2025-06-29,14,0,14,0
2025-06-30,12,0,12,0
2025-07-01,6,0,6,0
